Num,Acc_X,Acc_Y,Acc_Z
0,198,839,-676
1,191,848,-582
2,191,848,-582
3,162,952,-532
4,162,952,-532
5,64,1082,-598
6,64,1082,-598
7,64,1442,-762
8,-135,1448,-762
9,-135,1448,-762
10,-478,1957,-1020
11,-478,1957,-1020
12,-784,1998,-1338
13,-784,1998,-1338
14,-956,1998,-1417
15,-954,1998,-1417
16,-954,1998,-1417
17,-994,1998,-1370
18,-994,1998,-1370
19,-921,1780,-1069
20,-921,1780,-1069
21,-830,1312,-827
22,-830,1312,-827
23,-830,1312,-592
24,-722,920,-591
25,-722,920,-591
26,-579,481,-361
27,-579,481,-361
28,-432,-103,-174
29,-432,-103,-174
30,-292,-491,0
31,-288,-491,0
32,-288,-491,0
33,-335,-550,109
34,-335,-550,109
35,-397,-428,289
36,-397,-428,289
37,-465,-409,619
38,-465,-409,619
39,-465,-409,605
40,-613,-644,605
41,-613,-644,605
42,-745,-1073,391
43,-745,-1073,391
44,-722,-1074,395
45,-722,-1074,395
46,-722,-1199,179
47,-759,-1200,179
48,-759,-1200,179
49,-525,-1575,183
50,-525,-1575,183
51,-43,-1819,584
52,-43,-1819,584
53,628,-1999,732
54,633,-1999,732
55,633,-1999,732
56,1241,-1999,1395
57,1241,-1999,1395
58,1139,-1999,1106
59,1139,-1999,1106
60,540,-1444,-105
61,540,-1444,-105
62,540,-649,-623
63,338,-649,-623
64,338,-649,-623
65,414,-704,-248
66,414,-704,-248
67,553,-1081,92
68,553,-1081,92
69,600,-1105,267
70,599,-1105,267
71,599,-1105,267
72,547,-895,218
73,547,-895,218
74,525,-790,62
75,525,-790,62
76,521,-834,-23
77,521,-834,-23
78,521,-834,34
79,564,-859,34
