Num,Acc_X,Acc_Y,Acc_Z
0,253,910,-492
1,253,749,-688
2,200,749,-688
3,200,749,-688
4,123,711,-804
5,123,711,-804
6,76,780,-824
7,76,780,-824
8,13,867,-861
9,8,867,-861
10,8,867,-861
11,-76,963,-806
12,-76,963,-806
13,15,1146,-651
14,15,1146,-651
15,-57,1314,-556
16,-57,1314,-556
17,-57,1314,-544
18,-40,1291,-544
19,-40,1291,-544
20,8,1213,-595
21,8,1213,-595
22,29,1168,-605
23,29,1168,-605
24,29,1227,-661
25,-76,1227,-661
26,-76,1227,-661
27,-214,1515,-780
28,-214,1515,-780
29,-323,1835,-899
30,-323,1835,-899
31,-471,1893,-1057
32,-471,1893,-1057
33,-471,1893,-1298
34,-641,1892,-1298
35,-641,1892,-1298
36,-810,1993,-1623
37,-810,1993,-1623
38,-935,1998,-1660
39,-935,1998,-1660
40,-935,1994,-1242
41,-1061,1994,-1242
42,-1061,1994,-1242
43,-1185,1569,-722
44,-1185,1569,-722
45,-1345,852,-150
46,-1345,852,-150
47,-1726,260,395
48,-1726,260,395
49,-1726,260,395
50,-1999,-347,780
51,-1999,-347,780
52,-1999,-1161,1046
53,-1999,-1161,1046
54,-1999,-1666,1129
55,-1999,-1666,1129
56,-1999,-1999,1036
57,-1999,-1999,1036
58,-1999,-1999,1036
59,-1894,-1999,201
60,-1894,-1999,201
61,-1432,-1999,-310
62,-1432,-1999,-310
63,-328,-1999,236
64,-328,-1999,236
65,-328,-1999,236
66,99,-1999,936
67,99,-1999,936
68,446,-1999,1213
69,446,-1999,1213
70,322,-1999,356
71,322,-1999,356
72,322,-1999,-864
73,-173,-1658,-864
74,-173,-1658,-864
75,-383,-963,-1138
76,-383,-963,-1138
77,-9,-751,-323
78,-9,-751,-323
79,183,-741,247
