Num,Acc_X,Acc_Y,Acc_Z
0,3,715,-783
1,3,715,-783
2,-397,817,-1016
3,-397,817,-1016
4,-1079,1549,-1737
5,-1079,1549,-1737
6,-1079,1987,-1998
7,-1853,1998,-1998
8,-1853,1998,-1998
9,-1999,1998,-1998
10,-1999,1998,-1998
11,-1884,1996,-1970
12,-1884,1996,-1970
13,-1587,1620,-1426
14,-1583,1620,-1426
15,-1583,1620,-1426
16,-1393,1091,-1070
17,-1393,1091,-1070
18,-1275,711,-377
19,-1275,711,-377
20,-1211,242,124
21,-1211,242,124
22,-1211,242,515
23,-1343,-425,514
24,-1343,-425,514
25,-1264,-1274,1113
26,-1264,-1274,1113
27,-1051,-1719,1035
28,-1051,-1719,1035
29,-910,-1522,1014
30,-910,-1522,1014
31,-910,-1522,1014
32,-936,-1199,960
33,-936,-1199,960
34,-788,-1328,1029
35,-788,-1328,1029
36,-468,-1628,992
37,-468,-1628,992
38,-468,-1628,852
39,-64,-1893,848
40,-64,-1893,848
41,612,-1999,1145
42,612,-1999,1145
43,1029,-1999,1467
44,1029,-1999,1467
45,1029,-1968,1718
46,1239,-1960,1718
47,1239,-1960,1718
48,1034,-1526,1036
49,1034,-1526,1036
50,603,-1030,-1
51,603,-1030,-1
52,462,-636,-355
53,462,-636,-355
54,462,-636,103
55,596,-712,103
56,596,-712,103
57,710,-978,401
58,710,-978,401
59,756,-1020,439
60,756,-1020,439
61,756,-911,206
62,683,-908,206
63,683,-908,206
64,617,-787,0
65,617,-787,0
66,647,-757,68
67,647,-757,68
68,647,-709,121
69,654,-709,121
70,654,-709,121
71,681,-752,192
72,681,-752,192
73,668,-726,160
74,668,-726,160
75,657,-649,159
76,657,-649,159
77,657,-649,159
78,657,-663,159
79,657,-663,159
