Num,Acc_X,Acc_Y,Acc_Z
0,157,895,-467
1,157,895,-467
2,157,934,-431
3,159,934,-431
4,159,934,-431
5,139,893,-480
6,139,893,-480
7,59,1100,-587
8,59,1100,-587
9,-80,1451,-514
10,-80,1451,-514
11,-80,1451,-395
12,-180,1710,-395
13,-180,1710,-395
14,-294,1850,-280
15,-294,1850,-280
16,-338,1998,-416
17,-338,1998,-416
18,-338,1998,-448
19,-493,1998,-448
20,-493,1998,-448
21,-612,1998,-837
22,-612,1998,-837
23,-718,1998,-1496
24,-718,1998,-1496
25,-765,1998,-1543
26,-751,1998,-1543
27,-751,1998,-1080
28,-766,1998,-1080
29,-766,1998,-1080
30,-999,1955,-801
31,-999,1955,-801
32,-1443,1404,-855
33,-1443,1404,-855
34,-1443,764,-590
35,-1908,758,-590
36,-1908,758,-590
37,-1999,-48,270
38,-1999,-48,270
39,-1999,-1130,1191
40,-1999,-1130,1191
41,-1999,-1990,1604
42,-1999,-1990,1604
43,-1999,-1990,1604
44,-1999,-1999,864
45,-1999,-1999,864
46,-1832,-1999,-82
47,-1832,-1999,-82
48,-928,-1999,-59
49,-928,-1999,-59
50,-928,-1999,132
51,-169,-1999,132
52,-169,-1999,132
53,412,-1999,642
54,412,-1999,642
55,730,-1999,808
56,730,-1999,808
57,183,-1689,-197
58,183,-1689,-197
59,183,-1689,-197
60,-74,-875,-859
61,-74,-875,-859
62,59,-341,-709
63,59,-341,-709
64,251,-279,-153
65,251,-279,-153
66,251,-279,95
67,359,-693,95
68,359,-693,95
69,345,-1097,-182
70,345,-1097,-182
71,271,-1210,-453
72,271,-1210,-453
73,271,-1120,-435
74,262,-1120,-435
75,262,-1120,-435
76,290,-1011,-305
77,290,-1011,-305
78,290,-940,-300
79,290,-940,-300
