Num,Acc_X,Acc_Y,Acc_Z
0,-857,-246,770
1,-857,-246,770
2,-857,-253,811
3,-865,-253,811
4,-865,-253,811
5,-854,-271,915
6,-854,-271,915
7,-888,-237,1006
8,-888,-237,1006
9,-904,-221,1166
10,-897,-221,1166
11,-897,-221,1166
12,-990,-92,1417
13,-990,-92,1417
14,-1008,-38,1791
15,-1008,-38,1791
16,-1048,-101,1999
17,-1048,-101,1999
18,-1048,-101,1999
19,-1139,-114,1999
20,-1139,-114,1999
21,-1418,6,1999
22,-1418,6,1999
23,-1827,79,1999
24,-1827,79,1999
25,-1827,-50,1999
26,-1999,-50,1999
27,-1999,-50,1999
28,-1999,-76,1999
29,-1999,-76,1999
30,-1999,-116,1999
31,-1999,-116,1999
32,-1999,-226,1937
33,-1999,-226,1937
34,-1999,-226,1390
35,-1999,-404,1390
36,-1999,-404,1390
37,-1999,-446,613
38,-1999,-446,613
39,-1999,-371,-68
40,-1999,-371,-68
41,-1999,-249,-421
42,-1980,-249,-421
43,-1980,-249,-421
44,-1744,-71,-657
45,-1744,-71,-657
46,-1393,81,-915
47,-1393,81,-915
48,-995,163,-1192
49,-995,163,-1192
50,-995,163,-1192
51,-579,85,-1381
52,-579,85,-1381
53,-183,-35,-1365
54,-183,-35,-1365
55,181,-122,-1203
56,181,-122,-1203
57,181,-54,-939
58,424,-54,-939
59,424,-54,-939
60,555,-68,-669
61,555,-68,-669
62,718,-189,-304
63,718,-189,-304
64,791,-265,41
65,791,-265,41
66,791,-265,41
67,861,-259,208
68,861,-259,208
69,893,-136,189
70,893,-136,189
71,913,-78,157
72,913,-78,157
73,913,-78,184
74,966,-80,184
75,966,-80,184
76,956,-45,234
77,956,-45,234
78,943,10,251
79,943,10,251
