Num,Acc_X,Acc_Y,Acc_Z
0,-1105,-114,927
1,-1105,-114,927
2,-1113,-178,820
3,-1113,-178,820
4,-1113,-178,820
5,-1184,-94,760
6,-1184,-94,760
7,-1231,-20,952
8,-1231,-20,952
9,-1314,-49,1253
10,-1314,-49,1253
11,-1314,-49,1502
12,-1367,-271,1502
13,-1367,-271,1502
14,-1496,-484,1673
15,-1496,-484,1673
16,-1681,-470,1824
17,-1681,-470,1824
18,-1681,-350,1801
19,-1947,-350,1801
20,-1947,-350,1801
21,-1999,-338,1954
22,-1999,-338,1954
23,-1999,-429,1999
24,-1999,-429,1999
25,-1999,-622,1999
26,-1999,-622,1999
27,-1999,-622,1999
28,-1999,-475,1999
29,-1999,-475,1999
30,-1999,-214,1842
31,-1999,-214,1842
32,-1999,-377,786
33,-1999,-377,786
34,-1999,-467,248
35,-1999,-467,248
36,-1999,-467,248
37,-1999,-357,-200
38,-1999,-357,-200
39,-1999,-190,-355
40,-1999,-190,-355
41,-1647,28,-936
42,-1647,28,-936
43,-1647,28,-936
44,-1083,129,-1292
45,-1083,129,-1292
46,-696,142,-1088
47,-696,142,-1088
48,-441,31,-867
49,-441,31,-867
50,-441,31,-557
51,-293,44,-557
52,-293,44,-557
53,-173,139,-432
54,-173,139,-432
55,-29,258,-244
56,-29,258,-244
57,145,274,-124
58,145,274,-124
59,145,274,-124
60,237,170,39
61,237,170,39
62,311,-12,249
63,311,-12,249
64,374,-154,453
65,374,-154,453
66,374,-154,463
67,435,-274,463
68,435,-274,463
69,462,-242,562
70,462,-242,562
71,469,-203,581
72,469,-203,581
73,469,-150,698
74,442,-150,698
75,442,-150,698
76,477,-148,812
77,477,-148,812
78,491,-211,870
79,491,-211,870
