Num,Acc_X,Acc_Y,Acc_Z
0,-875,-296,1051
1,-875,-296,1051
2,-884,-281,1249
3,-884,-281,1249
4,-883,-318,1524
5,-883,-318,1524
6,-883,-389,1862
7,-912,-389,1862
8,-912,-389,1862
9,-981,-254,1999
10,-981,-254,1999
11,-1086,-66,1937
12,-1086,-66,1937
13,-1442,-27,1999
14,-1442,-27,1999
15,-1442,-27,1999
16,-1600,-160,1999
17,-1600,-160,1999
18,-1749,-393,1999
19,-1749,-393,1999
20,-1992,-623,1999
21,-1992,-623,1999
22,-1992,-623,1999
23,-1999,-620,1999
24,-1999,-620,1999
25,-1999,-543,1626
26,-1999,-543,1626
27,-1999,-517,1014
28,-1999,-517,1014
29,-1999,-470,387
30,-1999,-470,387
31,-1999,-470,-18
32,-1797,-425,-19
33,-1797,-425,-19
34,-1289,-464,-800
35,-1289,-464,-800
36,-625,-97,-1795
37,-625,-97,-1795
38,-625,-97,-1948
39,-179,217,-1948
40,-179,217,-1948
41,-55,219,-1527
42,-55,219,-1527
43,-19,95,-737
44,-19,95,-737
45,-19,-140,-33
46,4,-140,-33
47,4,-140,-33
48,27,-172,426
49,27,-172,426
50,110,-136,492
51,110,-136,492
52,201,-55,509
53,201,-55,509
54,201,-8,517
55,251,-3,517
56,251,-3,517
57,289,31,605
58,289,31,605
59,361,-8,714
60,361,-8,714
61,423,-50,739
62,425,-50,739
63,425,-50,739
64,481,-54,739
65,481,-54,739
66,510,-66,744
67,510,-66,744
68,530,-73,817
69,530,-73,817
70,530,-73,911
71,520,-55,916
72,520,-55,916
73,517,-83,968
74,517,-83,968
75,544,-126,987
76,544,-126,987
77,544,-95,1004
78,548,-101,1004
79,548,-101,1004
