Num,Acc_X,Acc_Y,Acc_Z
0,93,753,-521
1,32,839,-618
2,32,839,-618
3,32,910,-719
4,-27,910,-719
5,-27,910,-719
6,-90,1025,-751
7,-90,1025,-751
8,-258,1139,-798
9,-258,1139,-798
10,-616,1634,-1050
11,-616,1634,-1050
12,-616,1634,-1456
13,-1012,1998,-1463
14,-1012,1998,-1463
15,-1251,1971,-1673
16,-1251,1971,-1673
17,-1250,1998,-1594
18,-1250,1998,-1594
19,-1250,1998,-1183
20,-1059,1703,-1183
21,-1059,1703,-1183
22,-887,1129,-923
23,-887,1129,-923
24,-777,1065,-888
25,-777,1065,-888
26,-686,1066,-829
27,-686,1066,-829
28,-686,1066,-658
29,-651,779,-663
30,-651,779,-663
31,-617,215,-330
32,-617,215,-330
33,-491,-489,139
34,-491,-489,139
35,-491,-676,392
36,-708,-680,392
37,-708,-680,392
38,-769,-595,512
39,-769,-595,512
40,-748,-798,774
41,-748,-798,774
42,-686,-880,988
43,-686,-880,988
44,-686,-880,988
45,-689,-928,1037
46,-689,-928,1037
47,-707,-935,651
48,-707,-935,651
49,-615,-1176,245
50,-615,-1176,245
51,-615,-1176,448
52,-279,-1828,443
53,-279,-1828,443
54,339,-1999,564
55,339,-1999,564
56,1230,-1999,1403
57,1230,-1999,1403
58,1480,-1999,1950
59,1469,-1999,1950
60,1469,-1999,1950
61,916,-1845,812
62,916,-1845,812
63,408,-1187,-464
64,408,-1187,-464
65,350,-771,-499
66,350,-771,-499
67,350,-771,0
68,434,-663,5
69,434,-663,5
70,495,-561,171
71,495,-561,171
72,568,-571,251
73,568,-571,251
74,568,-790,250
75,633,-793,250
76,633,-793,250
77,629,-941,113
78,629,-941,113
79,638,-994,94
