Num,Acc_X,Acc_Y,Acc_Z
0,-831,-122,1362
1,-831,-122,1362
2,-816,-78,1389
3,-816,-78,1389
4,-816,-78,1282
5,-803,-173,1282
6,-803,-173,1282
7,-794,-335,1298
8,-794,-335,1298
9,-866,-231,1402
10,-866,-231,1402
11,-866,-5,1731
12,-870,-5,1731
13,-870,-5,1731
14,-1111,117,1894
15,-1111,117,1894
16,-1252,-18,1999
17,-1252,-18,1999
18,-1877,-74,1999
19,-1877,-74,1999
20,-1877,-74,1999
21,-1999,-96,1999
22,-1999,-96,1999
23,-1999,-129,1999
24,-1999,-129,1999
25,-1999,-223,1999
26,-1999,-223,1999
27,-1999,-223,1767
28,-1999,-351,1767
29,-1999,-351,1767
30,-1999,-404,1055
31,-1999,-404,1055
32,-1999,-367,547
33,-1999,-367,547
34,-1999,-227,228
35,-1965,-227,228
36,-1965,-227,228
37,-1697,-68,-58
38,-1697,-68,-58
39,-1380,2,-142
40,-1380,2,-142
41,-1100,16,-354
42,-1100,16,-354
43,-1100,16,-354
44,-856,85,-439
45,-856,85,-439
46,-616,97,-578
47,-616,97,-578
48,-398,94,-712
49,-398,94,-712
50,-398,94,-720
51,-199,86,-720
52,-199,86,-720
53,26,14,-685
54,26,14,-685
55,255,-1,-625
56,255,-1,-625
57,255,37,-528
58,400,37,-528
59,400,37,-528
60,517,28,-451
61,517,28,-451
62,609,-57,-303
63,609,-57,-303
64,718,-107,-205
65,716,-107,-205
66,716,-107,-205
67,785,-85,-131
68,785,-85,-131
69,839,-88,-50
70,839,-88,-50
71,874,-82,50
72,874,-82,50
73,874,-82,182
74,911,-98,182
75,911,-98,182
76,945,-120,290
77,945,-120,290
78,956,-136,320
79,956,-136,320
