Num,Acc_X,Acc_Y,Acc_Z
0,-918,37,1270
1,-918,37,1270
2,-990,177,1758
3,-990,177,1758
4,-1021,110,1999
5,-1021,110,1999
6,-1129,-14,1999
7,-1129,-14,1999
8,-1129,-14,1999
9,-1298,124,1999
10,-1298,124,1999
11,-1595,287,1999
12,-1595,287,1999
13,-1803,209,1915
14,-1803,209,1915
15,-1803,115,1999
16,-1987,111,1999
17,-1987,111,1999
18,-1999,148,1999
19,-1999,148,1999
20,-1999,286,1999
21,-1999,286,1999
22,-1999,393,1757
23,-1999,393,1757
24,-1999,393,1757
25,-1999,425,1216
26,-1999,425,1216
27,-1999,238,793
28,-1999,238,793
29,-1982,88,483
30,-1982,88,483
31,-1982,9,283
32,-1757,7,283
33,-1757,7,283
34,-1526,-96,-245
35,-1526,-96,-245
36,-1087,-125,-616
37,-1087,-125,-616
38,-790,-111,-699
39,-794,-111,-699
40,-794,-111,-699
41,-566,-166,-741
42,-566,-166,-741
43,-354,-228,-612
44,-354,-228,-612
45,-189,-234,-495
46,-189,-234,-495
47,-189,-234,-323
48,-55,-231,-327
49,-55,-231,-327
50,48,-300,-148
51,48,-300,-148
52,159,-334,-3
53,159,-334,-3
54,299,-312,94
55,297,-312,94
56,297,-312,94
57,424,-273,54
58,424,-273,54
59,505,-228,77
60,505,-228,77
61,578,-246,139
62,578,-246,139
63,578,-246,248
64,655,-292,248
65,655,-292,248
66,744,-321,316
67,744,-321,316
68,791,-316,335
69,791,-316,335
70,791,-284,392
71,806,-285,392
72,806,-285,392
73,818,-292,500
74,818,-292,500
75,860,-286,536
76,860,-286,536
77,860,-255,562
78,869,-255,562
79,869,-255,561
