Num,Acc_X,Acc_Y,Acc_Z
0,-1037,-252,1943
1,-1037,-252,1943
2,-1129,-330,1999
3,-1129,-330,1999
4,-1218,-372,1999
5,-1218,-372,1999
6,-1218,-372,1999
7,-1382,-388,1999
8,-1382,-388,1999
9,-1493,-324,1986
10,-1493,-324,1986
11,-1762,-189,1892
12,-1762,-189,1892
13,-1762,-189,1990
14,-1932,-284,1990
15,-1932,-284,1990
16,-1999,-368,1987
17,-1999,-368,1987
18,-1999,-364,1882
19,-1999,-364,1882
20,-1999,-363,1590
21,-1999,-363,1590
22,-1999,-363,1590
23,-1999,-377,1337
24,-1999,-377,1337
25,-1999,-346,1023
26,-1999,-346,1023
27,-1999,-326,568
28,-1999,-326,568
29,-1999,-326,100
30,-1979,-249,100
31,-1979,-249,100
32,-1641,-145,-321
33,-1641,-145,-321
34,-1174,-101,-809
35,-1174,-101,-809
36,-1174,-148,-1147
37,-689,-148,-1147
38,-689,-148,-1147
39,-316,-104,-1330
40,-316,-104,-1330
41,-24,-102,-1255
42,-24,-102,-1255
43,229,-81,-1075
44,229,-81,-1075
45,229,-81,-903
46,451,-22,-893
47,451,-22,-893
48,590,-10,-644
49,590,-10,-644
50,683,-115,-272
51,683,-115,-272
52,793,-187,-34
53,788,-187,-34
54,788,-187,-34
55,870,-162,165
56,870,-162,165
57,891,-87,305
58,891,-87,305
59,906,-61,340
60,906,-61,340
61,906,-61,355
62,943,-75,345
63,943,-75,345
64,948,-91,313
65,948,-91,313
66,962,-93,337
67,962,-93,337
68,962,-15,359
69,935,-2,359
70,935,-2,359
71,921,47,350
72,921,47,350
73,919,21,382
74,919,21,382
75,919,0,408
76,911,0,408
77,911,0,408
78,915,3,403
79,915,3,403
