Num,Acc_X,Acc_Y,Acc_Z
0,549,447,-694
1,529,450,-694
2,520,424,-686
3,520,424,-686
4,507,431,-706
5,470,473,-760
6,470,473,-760
7,427,534,-787
8,411,574,-780
9,411,580,-781
10,429,580,-781
11,435,560,-693
12,432,486,-749
13,432,486,-749
14,444,481,-726
15,447,490,-745
16,447,490,-744
17,439,515,-744
18,431,534,-757
19,415,572,-781
20,406,572,-781
21,382,611,-836
22,202,718,-1023
23,202,718,-1023
24,13,895,-1268
25,-124,1194,-1567
26,-124,1381,-1788
27,-285,1377,-1788
28,-318,1302,-1739
29,-325,1214,-1545
30,-325,1214,-1545
31,-302,1157,-1324
32,-198,1048,-1163
33,-198,1048,-1163
34,-219,879,-998
35,-53,672,-812
36,-53,458,-610
37,-50,458,-610
38,-68,247,-392
39,-192,10,-223
40,-192,10,-223
41,-431,-119,-79
42,-695,-263,73
43,-695,-263,73
44,-1014,-407,374
45,-1440,-604,714
46,-1644,-782,907
47,-1645,-782,907
48,-1729,-1206,1046
49,-1278,-1909,1277
50,-1278,-1909,1277
51,-740,-1999,1442
52,-239,-1976,1806
53,-239,-1976,1806
54,376,-1999,1999
55,591,-1999,1999
56,353,-1786,1573
57,353,-1786,1573
58,74,-1378,448
59,-16,-1043,-230
60,-16,-1043,-230
61,-8,-798,19
62,34,-722,450
63,34,-722,591
64,96,-909,590
65,101,-1065,560
66,132,-1151,522
67,129,-1151,522
68,136,-1121,526
69,160,-1088,560
70,160,-1088,560
71,183,-1088,561
72,176,-1087,542
73,176,-1087,542
74,192,-1057,521
75,158,-964,479
76,158,-843,456
77,148,-843,456
78,133,-762,400
79,133,-736,352
80,133,-736,352
81,138,-772,379
82,162,-838,431
83,162,-838,431
84,162,-864,494
85,166,-903,500
86,166,-934,495
87,169,-935,495
88,173,-924,472
89,156,-902,432
90,156,-902,432
91,162,-900,422
92,146,-881,394
93,146,-881,394
94,131,-878,389
95,129,-907,430
96,129,-946,443
97,122,-946,443
98,124,-940,472
99,121,-931,475
