Num,Acc_X,Acc_Y,Acc_Z
0,-547,-275,1421
1,-547,-275,1421
2,-585,-250,1385
3,-557,-204,1431
4,-557,-204,1431
5,-566,-191,1380
6,-549,-225,1406
7,-549,-225,1412
8,-544,-226,1412
9,-499,-275,1452
10,-492,-315,1432
11,-492,-315,1432
12,-489,-336,1335
13,-495,-307,1239
14,-495,-307,1239
15,-520,-263,1138
16,-528,-244,1002
17,-528,-276,916
18,-529,-276,916
19,-535,-281,893
20,-550,-258,878
21,-550,-258,878
22,-561,-227,874
23,-564,-224,855
24,-564,-224,855
25,-575,-220,858
26,-586,-209,891
27,-586,-209,896
28,-593,-214,896
29,-584,-263,865
30,-563,-320,894
31,-563,-320,894
32,-573,-291,905
33,-576,-245,1039
34,-576,-245,1039
35,-554,-260,1116
36,-517,-269,1128
37,-517,-269,1223
38,-521,-288,1223
39,-525,-325,1601
40,-551,-350,1937
41,-551,-350,1937
42,-603,-329,1999
43,-729,-346,1999
44,-729,-346,1999
45,-878,-342,1999
46,-1132,-248,1999
47,-1132,-248,1999
48,-1417,-190,1999
49,-1799,-127,1999
50,-1971,-240,1999
51,-1975,-240,1999
52,-1999,-305,1999
53,-1999,-142,1999
54,-1999,-142,1999
55,-1999,-101,1942
56,-1999,-191,1316
57,-1999,-191,347
58,-1999,-375,347
59,-1896,-353,-356
60,-1668,-254,-567
61,-1668,-254,-567
62,-1459,-243,-743
63,-1185,-296,-916
64,-1185,-296,-916
65,-931,-322,-1428
66,-580,-191,-1687
67,-580,-35,-1890
68,-326,-39,-1890
69,-67,-15,-1982
70,232,-92,-1717
71,232,-92,-1717
72,468,-268,-1420
73,607,-300,-1056
74,607,-300,-915
75,667,-157,-921
76,704,51,-895
77,704,197,-718
78,758,197,-718
79,810,238,-493
80,876,149,-326
81,876,149,-326
82,902,83,-266
83,904,130,-309
84,904,130,-335
85,902,123,-335
86,901,67,-363
87,901,43,-384
88,900,43,-384
89,885,43,-413
90,869,36,-435
91,869,36,-435
92,873,22,-415
93,893,-4,-422
94,893,-4,-391
95,890,13,-398
96,899,34,-376
97,898,59,-383
98,898,59,-383
99,904,98,-395
