Num,Acc_X,Acc_Y,Acc_Z
0,-398,-334,893
1,-417,-248,1018
2,-417,-217,1011
3,-409,-217,1011
4,-429,-219,986
5,-427,-312,986
6,-427,-312,986
7,-381,-317,1116
8,-377,-214,1188
9,-377,-214,1188
10,-462,-88,1259
11,-414,-100,1494
12,-414,-200,1599
13,-343,-200,1599
14,-298,-256,1756
15,-358,-221,1903
16,-358,-221,1903
17,-411,-85,1942
18,-477,0,1998
19,-477,0,1998
20,-564,17,1999
21,-793,55,1999
22,-1090,-74,1999
23,-1082,-74,1999
24,-1327,-81,1999
25,-1533,-61,1999
26,-1533,-61,1999
27,-1480,-75,1885
28,-1336,-121,1613
29,-1336,-121,1332
30,-1166,-142,1330
31,-999,-131,1135
32,-999,-174,969
33,-879,-174,969
34,-756,-229,705
35,-656,-236,511
36,-656,-236,511
37,-535,-260,271
38,-404,-258,-6
39,-404,-258,-280
40,-301,-155,-280
41,-207,-76,-521
42,-77,-44,-644
43,-77,-44,-644
44,-10,1,-855
45,148,-6,-903
46,148,-6,-903
47,288,1,-929
48,392,-6,-967
49,392,-6,-826
50,484,60,-814
51,574,45,-660
52,668,-8,-572
53,668,-8,-572
54,737,-55,-456
55,767,-26,-415
56,767,-26,-415
57,811,-1,-393
58,834,24,-338
59,834,24,-338
60,854,9,-299
61,883,-37,-264
62,883,-93,-241
63,941,-93,-241
64,971,-124,-218
65,1003,-130,-190
66,1003,-130,-190
67,1004,-79,-197
68,1015,-80,-217
69,1015,-80,-217
70,1013,-86,-239
71,992,-81,-232
72,992,-66,-212
73,990,-77,-212
74,982,-74,-196
75,981,-55,-186
76,981,-55,-186
77,982,-37,-215
78,957,-15,-201
79,957,-15,-201
80,929,17,-200
81,959,-26,-205
82,959,0,-241
83,939,0,-241
84,949,-15,-231
85,968,-81,-239
86,968,-81,-239
87,974,-62,-225
88,980,-68,-239
89,980,-68,-223
90,964,-63,-233
91,966,-76,-273
92,966,-42,-244
93,968,-42,-244
94,956,-22,-253
95,955,-22,-293
96,955,-22,-293
97,954,-12,-283
98,954,-15,-275
99,954,-15,-269
