Num,Acc_X,Acc_Y,Acc_Z
0,-410,-77,913
1,-410,-77,928
2,-399,-108,924
3,-421,-67,937
4,-421,-25,930
5,-428,-25,930
6,-421,-32,944
7,-429,-79,942
8,-429,-79,942
9,-473,-55,1014
10,-420,7,981
11,-420,7,1190
12,-369,102,1190
13,-324,103,1336
14,-291,96,1425
15,-291,96,1425
16,-242,68,1634
17,-197,-27,1735
18,-197,-27,1735
19,-171,-9,1861
20,-177,91,1999
21,-177,91,1999
22,-233,24,1999
23,-424,62,1999
24,-756,276,1999
25,-756,276,1999
26,-932,388,1999
27,-1122,345,1999
28,-1122,345,1999
29,-1136,278,1999
30,-1034,48,1838
31,-1034,48,1660
32,-986,-72,1660
33,-1004,-103,1568
34,-889,-172,1349
35,-889,-172,1349
36,-803,-236,976
37,-731,-219,655
38,-731,-219,655
39,-641,-223,283
40,-526,-180,28
41,-526,-196,-198
42,-405,-188,-198
43,-233,-222,-312
44,-135,-209,-512
45,-135,-209,-512
46,10,-161,-686
47,131,-57,-632
48,131,-57,-632
49,271,-24,-707
50,374,1,-729
51,374,-21,-730
52,491,-21,-730
53,597,-69,-674
54,681,-70,-599
55,681,-70,-599
56,743,-21,-520
57,796,-1,-471
58,796,-1,-362
59,862,-39,-365
60,928,-59,-247
61,960,-70,-234
62,958,-70,-234
63,974,-62,-183
64,982,-38,-140
65,982,-38,-140
66,989,-44,-122
67,994,-51,-124
68,994,-51,-172
69,979,-36,-172
70,958,15,-191
71,963,24,-154
72,963,24,-154
73,968,36,-154
74,965,40,-141
75,965,40,-141
76,953,32,-163
77,946,0,-163
78,946,-44,-183
79,962,-44,-183
80,966,-7,-146
81,975,-9,-148
82,975,-9,-148
83,956,-34,-148
84,987,-38,-136
85,987,-38,-136
86,985,-6,-126
87,1000,-28,-120
88,1000,-43,-145
89,994,-36,-145
90,997,-13,-147
91,987,-13,-149
92,987,-13,-149
93,996,-19,-174
94,984,0,-178
95,984,0,-178
96,978,-8,-187
97,985,-10,-159
98,985,-10,-127
99,991,-19,-127
