Num,Acc_X,Acc_Y,Acc_Z
0,333,670,-779
1,367,604,-738
2,355,552,-730
3,355,489,-660
4,371,493,-660
5,368,530,-659
6,349,597,-663
7,349,597,-663
8,347,605,-634
9,349,576,-728
10,349,576,-728
11,338,561,-745
12,354,571,-771
13,354,569,-798
14,339,569,-798
15,328,548,-749
16,266,585,-754
17,266,585,-754
18,259,623,-764
19,215,669,-824
20,215,669,-824
21,75,809,-972
22,-276,1012,-1208
23,-604,1396,-1709
24,-600,1396,-1709
25,-817,1760,-1997
26,-789,1639,-1837
27,-789,1639,-1837
28,-646,1228,-1485
29,-476,887,-1118
30,-476,887,-1118
31,-289,666,-761
32,-132,536,-595
33,-26,402,-421
34,-26,402,-421
35,42,149,-286
36,137,-133,-121
37,137,-133,-121
38,253,-326,4
39,270,-342,95
40,270,-342,188
41,248,-385,197
42,228,-444,160
43,181,-495,208
44,185,-495,208
45,81,-505,331
46,-109,-458,450
47,-109,-458,450
48,-245,-493,533
49,-461,-633,482
50,-461,-633,706
51,-584,-950,706
52,-399,-1345,1005
53,-259,-1378,940
54,-259,-1378,940
55,-90,-1472,961
56,166,-1721,1194
57,166,-1721,1194
58,411,-1741,1656
59,593,-1655,1861
60,593,-1655,1533
61,500,-1526,1532
62,274,-1320,748
63,134,-1190,149
64,126,-1190,149
65,177,-1129,232
66,247,-1128,512
67,247,-1128,512
68,271,-1107,644
69,274,-1072,597
70,274,-1072,597
71,226,-1005,461
72,238,-1002,435
73,238,-999,494
74,261,-999,494
75,259,-990,490
76,248,-961,489
77,248,-961,489
78,257,-935,474
79,255,-874,434
80,255,-874,434
81,244,-824,412
82,231,-812,412
83,231,-828,390
84,231,-821,390
85,227,-826,362
86,239,-854,394
87,239,-854,394
88,240,-883,405
89,229,-869,393
90,229,-869,393
91,230,-861,396
92,238,-881,438
93,238,-919,433
94,233,-919,433
95,244,-897,424
96,231,-867,400
97,231,-867,400
98,218,-897,402
99,249,-939,427
