Num,Acc_X,Acc_Y,Acc_Z
0,545,176,-757
1,551,171,-724
2,551,171,-724
3,550,200,-675
4,519,264,-678
5,519,264,-678
6,474,325,-682
7,428,353,-690
8,444,410,-927
9,438,410,-927
10,405,448,-918
11,427,451,-872
12,427,451,-872
13,403,451,-864
14,426,451,-835
15,426,451,-831
16,440,421,-831
17,506,367,-835
18,465,377,-831
19,465,377,-831
20,342,452,-954
21,51,604,-1202
22,51,604,-1202
23,-294,931,-1614
24,-578,1171,-1983
25,-578,1249,-1998
26,-803,1245,-1998
27,-1071,1335,-1998
28,-1390,1564,-1998
29,-1390,1564,-1998
30,-1719,1715,-1912
31,-1987,1761,-1518
32,-1987,1761,-1518
33,-1999,1671,-1036
34,-1999,1386,-299
35,-1999,852,205
36,-1999,852,205
37,-1999,243,856
38,-1999,-706,1527
39,-1999,-706,1527
40,-1999,-1705,1929
41,-1999,-1999,1999
42,-1999,-1999,1999
43,-1999,-1999,1993
44,-1349,-1999,1999
45,-614,-1910,1999
46,-610,-1910,1999
47,-405,-1629,1999
48,-58,-1999,1999
49,-58,-1999,1999
50,-289,-1852,1669
51,-404,-1496,831
52,-404,-1496,456
53,-414,-963,463
54,-449,-510,262
55,-371,-567,264
56,-371,-567,264
57,-277,-864,416
58,-244,-1023,606
59,-244,-1023,606
60,-212,-1094,744
61,-189,-1088,758
62,-189,-1088,758
63,-188,-983,672
64,-148,-927,674
65,-148,-911,687
66,-121,-913,687
67,-135,-859,616
68,-156,-816,555
69,-156,-816,555
70,-147,-788,594
71,-145,-742,565
72,-145,-742,565
73,-169,-707,511
74,-150,-726,543
75,-150,-726,577
76,-122,-789,577
77,-113,-849,586
78,-121,-920,587
79,-121,-920,587
80,-123,-915,603
81,-134,-888,642
82,-134,-888,642
83,-136,-846,647
84,-156,-829,598
85,-156,-846,572
86,-150,-846,572
87,-150,-847,557
88,-152,-837,549
89,-152,-837,549
90,-156,-812,568
91,-147,-800,591
92,-147,-800,591
93,-140,-804,600
94,-137,-837,604
95,-137,-858,600
96,-139,-858,600
97,-140,-840,590
98,-154,-813,566
99,-154,-813,566
